dataset,seed,row,macro_f1,macro_map,recall_at_n,n_passthrough_classes
rfmid,42,A_per_member,0.5232989841135915,0.60355572412926,0.8689064558629775,0
rfmid,42,B_pooled,0.5127999993431788,0.5932136255039363,0.8689064558629775,0
rfmid,43,A_per_member,0.507095813790405,0.593581223375159,0.8674242424242423,0
rfmid,43,B_pooled,0.5054208459999072,0.580964354514202,0.866600790513834,0
rfmid,44,A_per_member,0.5160128804303116,0.6042323007950429,0.8698945981554678,0
rfmid,44,B_pooled,0.5053401271850742,0.5846982813044797,0.8710474308300395,0
rfmid,45,A_per_member,0.5152532004241686,0.5810854307972376,0.8738471673254281,0
rfmid,45,B_pooled,0.5134592961186083,0.5909805352366718,0.8708827404479578,0
rfmid,46,A_per_member,0.5191637917683165,0.587859942483105,0.8690711462450593,0
rfmid,46,B_pooled,0.5317266535268577,0.6060822514713777,0.8667654808959158,0
mured,42,A_per_member,0.6344534407820401,0.7204427044722407,0.7847222222222221,0
mured,42,B_pooled,0.6430943628473538,0.7217218683096657,0.7805930930930931,0
mured,43,A_per_member,0.6213605208953112,0.7283151788105158,0.7777777777777778,0
mured,43,B_pooled,0.6205518902180011,0.7290390101056959,0.7869744744744744,0
mured,44,A_per_member,0.6359267554126449,0.7242454483553398,0.7702702702702703,0
mured,44,B_pooled,0.6214548542831959,0.7236039565929594,0.7781531531531531,0
mured,45,A_per_member,0.6278708901515776,0.7187503121736876,0.7794669669669669,0
mured,45,B_pooled,0.6244417547790786,0.7152074989571748,0.7865990990990991,0
mured,46,A_per_member,0.6480596661237614,0.7160976099652794,0.7907282282282282,0
mured,46,B_pooled,0.6402875195230718,0.7148794096287918,0.7982357357357357,0
